Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
2.3,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.31,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.32,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.33,0.0003,1e-04,-0.0004,0.0003,-1e-04,1e-04
2.34,0.0005,0.0002,-0.0006,0.0004,-0.0002,0.0002
2.35,0.0007,0.0002,-0.0008,0.0005,-0.0002,0.0002
2.36,0.0009,0.0003,-0.001,0.0007,-0.0003,0.0002
2.37,0.0011,0.0003,-0.0012,0.0008,-0.0004,0.0003
2.38,0.0013,0.0004,-0.0014,0.0009,-0.0005,0.0003
2.39,0.0015,0.0005,-0.0016,0.0011,-0.0005,0.0004
2.4,0.0017,0.0005,-0.0019,0.0012,-0.0006,0.0004
2.41,0.0019,0.0006,-0.0021,0.0014,-0.0007,0.0005
2.42,0.0021,0.0006,-0.0023,0.0015,-0.0007,0.0005
2.43,0.0023,0.0007,-0.0025,0.0017,-0.0008,0.0005
2.44,0.0025,0.0008,-0.0027,0.0018,-0.0009,0.0006
2.45,0.0027,0.0008,-0.0029,0.0019,-0.001,0.0006
2.46,0.0029,0.0009,-0.0031,0.0021,-0.001,0.0007
2.47,0.0031,0.0009,-0.0033,0.0022,-0.0011,0.0007
2.48,0.0033,0.001,-0.0035,0.0023,-0.0012,0.0008
2.49,0.0035,0.001,-0.0037,0.0025,-0.0012,0.0008
2.5,0.0037,0.0011,-0.0039,0.0026,-0.0013,0.0008
2.51,0.0039,0.0011,-0.0041,0.0027,-0.0014,0.0009
2.52,0.0041,0.0012,-0.0043,0.0029,-0.0014,0.0009
2.53,0.0043,0.0012,-0.0045,0.003,-0.0015,0.001
2.54,0.0044,0.0013,-0.0046,0.0031,-0.0015,0.001
2.55,0.0046,0.0013,-0.0048,0.0032,-0.0016,0.001
2.56,0.0047,0.0014,-0.005,0.0033,-0.0016,0.0011
2.57,0.0049,0.0014,-0.0051,0.0034,-0.0017,0.0011
2.58,0.0051,0.0015,-0.0053,0.0035,-0.0018,0.0011
2.59,0.0052,0.0015,-0.0055,0.0036,-0.0018,0.0012
2.6,0.0055,0.0016,-0.0057,0.0038,-0.0019,0.0012
2.61,0.0057,0.0017,-0.0059,0.004,-0.002,0.0013
2.62,0.0059,0.0017,-0.0062,0.0041,-0.002,0.0013
2.63,0.0061,0.0018,-0.0064,0.0042,-0.0021,0.0014
2.64,0.0062,0.0018,-0.0065,0.0043,-0.0022,0.0014
2.65,0.0063,0.0018,-0.0065,0.0044,-0.0022,0.0014
2.66,0.0063,0.0018,-0.0066,0.0044,-0.0022,0.0014
2.67,0.0064,0.0019,-0.0067,0.0045,-0.0022,0.0014
2.68,0.0066,0.0019,-0.0068,0.0046,-0.0023,0.0015
2.69,0.0067,0.0019,-0.007,0.0047,-0.0023,0.0015
2.7,0.0068,0.002,-0.0071,0.0048,-0.0024,0.0015
2.71,0.007,0.002,-0.0072,0.0049,-0.0024,0.0015
2.72,0.0071,0.002,-0.0073,0.0049,-0.0025,0.0016
2.73,0.0072,0.0021,-0.0075,0.005,-0.0025,0.0016
2.74,0.0074,0.0021,-0.0076,0.0051,-0.0026,0.0016
2.75,0.0075,0.0021,-0.0077,0.0052,-0.0026,0.0017
2.76,0.0076,0.0022,-0.0078,0.0053,-0.0026,0.0017
