Fiber 2_right: Idx,x (mm),y (mm),z (mm),Cutting plane x
136,10.26543437671538,-0.14241007227001512,9.495584441480494,1.1
137,10.16898359839103,1.3841594563614361,9.543062363687897,1.1
138,9.846863496945392,2.8789116446976086,9.5905402858953,1.1
139,9.306386079031514,4.308687294380258,9.638018208102702,1.1
140,8.559705484443555,5.6417933360280434,9.685496130310103,1.1
141,7.623544709236412,6.848705350216115,9.732974052517505,1.1
142,6.518821096923318,7.902721442761248,9.780451974724908,1.1
143,5.2701789842196165,8.780552993089348,9.82792989693231,1.1
144,3.90543994299807,9.462839206242956,9.875407819139713,1.1
145,2.45498288202852,9.934574100018457,9.922885741347116,1.1
146,1.1,10.159264013605826,9.96673519685871,1.1
147,1.1,8.319602638720362,10.063605951416438,1.1
148,1.1,6.479941263834897,10.160476705974165,1.1
149,1.1,4.6402798889494346,10.257347460531893,1.1
150,1.1,2.8006185140639697,10.35421821508962,1.1
151,1.1,0.9609571391785057,10.451088969647348,1.1
152,1.1,-0.878704235706957,10.547959724205075,1.1
153,1.1,-2.718365610592422,10.644830478762803,1.1
154,1.1,-4.558026985477886,10.74170123332053,1.1
155,1.1,-6.39768836036335,10.838571987878257,1.1
156,1.1,-8.237349735248815,10.935442742435987,1.1
157,1.1,-10.077011110134277,11.032313496993712,1.1
158,1.974760196268166,-9.95133628774889,11.062355874324775,1.1
159,3.430400238567018,-9.543936039533362,11.109833796532177,1.1
160,4.80883762704665,-8.924968217636412,11.15731171873958,1.1
161,6.079528437578162,-8.10832621311435,11.204789640946982,1.1
162,7.214342719005488,-7.112281563157791,11.252267563154385,1.1
163,8.18818721465281,-5.959075166905067,11.299745485361788,1.1
164,8.9795602197326,-4.674420678562711,11.34722340756919,1.1
165,9.571026305974744,-3.286931166010713,11.394701329776593,1.1
166,9.949600432639318,-1.8274818185619681,11.442179251983996,1.1
167,10.107032982297714,-0.328522898013239,11.489657174191397,1.1
168,10.039989465382805,1.1766417785463608,11.5371350963988,1.1
169,9.750120980412353,2.6545947815835556,11.584613018606202,1.1
170,9.244023944866791,4.0725469976060795,11.632090940813605,1.1
171,8.53309007098929,5.399065071110166,11.679568863021007,1.1
172,7.63324999664922,6.6047682213604775,11.72704678522841,1.1
173,6.564616339812201,7.662978986965428,11.774524707435813,1.1
174,5.351034173782711,8.550313485235547,11.822002629643215,1.1
175,4.019548969853929,9.24719812655431,11.869480551850618,1.1
176,2.5998038789400377,9.738301366187404,11.91695847405802,1.1
177,1.123379783822768,10.012870970435854,11.964436396265421,1.1
178,1.1,10.00186059995659,11.96673519685871,1.1
179,1.1,8.190818027552805,12.063605951416438,1.1
180,1.1,6.379775455149019,12.160476705974164,1.1
181,1.1,4.568732882745237,12.257347460531893,1.1
182,1.1,2.757690310341452,12.35421821508962,1.1
183,1.1,0.9466477379376661,12.451088969647348,1.1
184,1.1,-0.8643948344661156,12.547959724205075,1.1
185,1.1,-2.675437406869902,12.644830478762803,1.1
186,1.1,-4.486479979273687,12.74170123332053,1.1
187,1.1,-6.297522551677471,12.838571987878257,1.1
188,1.1,-8.108565124081258,12.935442742435985,1.1
189,1.1,-9.91960769648504,13.032313496993712,1.1
190,1.7619573792869054,-9.83474403451406,13.056428607035679,1.1
191,3.2026986405443196,-9.460239146772102,13.103906529243082,1.1
192,4.571286989100351,-8.87600612504294,13.151384451450484,1.1
193,5.837394438557827,-8.095168232735505,13.198862373657887,1.1
194,6.972990253919445,-7.135203532643064,13.24634029586529,1.1
195,7.952961526793699,-6.017553687302037,13.29381821807269,1.1
196,8.75566852019677,-4.767145056551952,13.341296140280093,1.1
197,9.363422502316217,-3.4118327882919117,13.388774062487496,1.1
198,9.762875518379227,-1.9817803001275998,13.436251984694898,1.1
199,9.945313512506408,-0.5087879748189214,13.483729906902301,1.1
200,9.906846363388299,0.974413990266621,13.531207829109704,1.1
201,9.648490690880466,2.434892854699866,13.578685751317106,1.1
202,9.176143674156522,3.8402445674207693,13.626163673524509,1.1
203,8.500448542908881,5.159312723904369,13.673641595731912,1.1
204,7.636554807467351,6.3628792963854055,13.721119517939314,1.1
205,6.6037786282528685,7.424311823853894,13.768597440146715,1.1
206,5.425170937920889,8.320152726417449,13.816075362354118,1.1
207,4.127002971830771,9.030637704043054,13.86355328456152,1.1
208,2.73818068890351,9.540131763635898,13.911031206768923,1.1
209,1.2896011350926455,9.837473255528826,13.958509128976326,1.1
210,1.1,9.844457186307352,13.96673519685871,1.1
211,1.1,8.062033416385248,14.063605951416438,1.1
212,1.1,6.2796096464631415,14.160476705974165,1.1
213,1.1,4.497185876541037,14.257347460531893,1.1
214,1.1,2.714762106618932,14.35421821508962,1.1
215,1.1,0.9323383366968265,14.451088969647348,1.1
216,1.1,-0.8500854332252779,14.547959724205075,1.1
217,1.1,-2.632509203147383,14.644830478762803,1.1
218,1.1,-4.414932973069488,14.74170123332053,1.1
219,1.1,-6.197356742991595,14.838571987878257,1.1
220,1.1,-7.9797805129137,14.935442742435985,1.1
221,1.1,-9.762204282835803,15.032313496993712,1.1
222,1.5541905897152775,-9.713730054156615,15.050501339746583,1.1
223,2.979320476117856,-9.371422453757972,15.097979261953984,1.1
224,4.337251541134568,-8.821339730108631,15.145457184161387,1.1
225,5.59788966228124,-8.075847946789784,15.19293510636879,1.1
226,6.733322965398577,-7.151641814777961,15.240413028576192,1.1
227,7.718439817973607,-6.069370853629593,15.287890950783595,1.1
228,8.531484197414517,-4.8531780369138895,15.335368872990998,1.1
229,9.154536151974373,-3.5301612291626414,15.3828467951984,1.1
230,9.573906744128635,-2.129769427945843,15.430324717405803,1.1
231,9.780438772626857,-0.6831472630416153,15.477802639613206,1.1
232,9.769706667657587,0.7775576566879965,15.525280561820608,1.1
233,9.542111196858945,2.219909144220404,15.572758484028009,1.1
234,9.102866958371749,3.611902707312162,15.620236406235412,1.1
235,8.46188301877496,4.922675699189171,15.667714328442814,1.1
236,7.633539425663003,6.123191589392456,15.715192250650217,1.1
237,6.636364634165746,7.186883183516638,15.76267017285762,1.1
238,5.492621082653015,8.0902405432658,15.810148095065022,1.1
239,4.227808186538492,8.813330596576638,15.857626017272425,1.1
240,2.8700938454708753,9.34023695378974,15.905103939479828,1.1
241,1.449687137891329,9.6594102258802,15.95258186168723,1.1
242,1.1,9.687053772658116,15.96673519685871,1.1
243,1.1,7.933248805217689,16.063605951416438,1.1
244,1.1,6.1794438377772645,16.160476705974165,1.1
245,1.1,4.425638870336839,16.257347460531893,1.1
246,1.1,2.671833902896413,16.35421821508962,1.1
247,1.1,0.918028935455987,16.451088969647348,1.1
248,1.1,-0.8357760319844365,16.547959724205075,1.1
249,1.1,-2.589580999424863,16.644830478762803,1.1
250,1.1,-4.34338596686529,16.74170123332053,1.1
251,1.1,-6.097190934305716,16.838571987878257,1.1
252,1.1,-7.850995901746142,16.935442742435985,1.1
253,1.1,-9.604800869186565,17.032313496993712,1.1
254,1.3515497259584122,-9.588441627967985,17.044574072457486,1.1
255,2.7603765095989723,-9.277618254626013,17.09205199466489,1.1
256,4.106860455886866,-8.761083408725211,17.13952991687229,1.1
257,5.361158824617024,-8.050459279337675,17.187007839079694,1.1
258,6.4954979028898,-7.161667801824984,17.234485761287097,1.1
259,7.484787988589445,-6.114573946067934,17.2819636834945,1.1
260,8.307178324258151,-4.93254174212323,17.329441605701902,1.1
261,8.94453970753715,-3.6419129655545786,17.376919527909305,1.1
262,9.382864119232783,-2.271420114111825,17.424397450116707,1.1
263,9.612572560353346,-0.851546757341012,17.47187537232411,1.1
264,9.62872433390502,0.5861505008984572,17.519353294531513,1.1
265,9.431123200293323,2.0097433656546975,17.566831216738912,1.1
266,9.02431812804778,3.3876409125498954,17.614309138946314,1.1
