Fiber 1_left: Idx,x (mm),y (mm),z (mm),Cutting plane x
195,-9.284855860910724,-3.4018790066540165,14.388209263331666,-1
196,-9.802809382168295,-1.255969876571175,14.45943802206103,-1
197,-9.831633546886911,0.9501460174277047,14.530666780790396,-1
198,-9.370436326732941,3.1064518027195764,14.60189553951976,-1
199,-8.442748989999616,5.105535614375062,14.673124298249125,-1
200,-7.095326103306836,6.847941086770923,14.74435305697849,-1
201,-5.395789409949847,8.247115378514616,14.815581815707855,-1
202,-3.4292343048381335,9.233708564224475,14.886810574437218,-1
203,-1.2939691995876534,9.759010830049673,14.958039333166584,-1
204,-1.0,9.7748122948022,14.970018717002713,-1
205,-1.0,8.277612392943551,15.051575543738432,-1
206,-1.0,6.7804124910849,15.13313237047415,-1
207,-1.0,5.283212589226249,15.214689197209868,-1
208,-1.0,3.7860126873676005,15.296246023945589,-1
209,-1.0,2.2888127855089517,15.377802850681308,-1
210,-1.0,0.7916128836503011,15.459359677417025,-1
211,-1.0,-0.705587018208349,15.540916504152744,-1
212,-1.0,-2.2027869200669983,15.622473330888463,-1
213,-1.0,-3.6999868219256467,15.704030157624182,-1
214,-1.0,-5.197186723784297,15.7855869843599,-1
215,-1.0,-6.694386625642948,15.86714381109562,-1
216,-1.0,-8.191586527501597,15.948700637831339,-1
217,-1.0,-9.688786429360245,16.030257464567057,-1
218,-2.9477471737854835,-9.300414075087168,16.097699472836418,-1
219,-4.935311660853334,-8.409653418075804,16.168928231565783,-1
220,-6.674669581776433,-7.100779870537599,16.240156990295148,-1
221,-8.079414335244884,-5.43949725154108,16.311385749024513,-1
222,-9.07991360426751,-3.508998917643981,16.38261450775388,-1
223,-9.626760863553514,-1.4058016988160327,16.453843266483243,-1
224,-9.693214932426075,0.7650795058214702,16.525072025212605,-1
225,-9.276507126890275,2.89537522572315,16.59630078394197,-1
226,-8.39795214102359,4.878961197544179,16.667529542671335,-1
227,-7.101858483881101,6.617145118751955,16.7387583014007,-1
228,-5.453294134678197,8.0235770082027,16.809987060130066,-1
229,-3.5348200735530857,9.028538863637017,16.88121581885943,-1
230,-1.4423556601800658,9.582400519359071,16.952444577588796,-1
231,-1.0,9.617408881152961,16.970018717002713,-1
232,-1.0,8.144424889086503,17.051575543738434,-1
233,-1.0,6.671440897020042,17.13313237047415,-1
234,-1.0,5.1984569049535825,17.214689197209868,-1
235,-1.0,3.7254729128871236,17.29624602394559,-1
236,-1.0,2.2524889208206647,17.377802850681306,-1
237,-1.0,0.7795049287542053,17.459359677417027,-1
238,-1.0,-0.693479063312255,17.540916504152744,-1
239,-1.0,-2.166463055378714,17.622473330888464,-1
240,-1.0,-3.6394470474451723,17.70403015762418,-1
241,-1.0,-5.112431039511632,17.785586984359902,-1
242,-1.0,-6.585415031578092,17.86714381109562,-1
243,-1.0,-8.05839902364455,17.948700637831337,-1
244,-1.0,-9.53138301571101,18.030257464567057,-1
245,-2.739868571134775,-9.203114016421148,18.09210471725863,-1
246,-4.711108103882493,-8.360861196576145,18.163333475987994,-1
247,-6.445299624389384,-7.102891309587386,18.23456223471736,-1
248,-7.856286431184861,-5.492375530203473,18.305790993446724,-1
249,-8.87411867461596,-3.609982965694741,18.37701975217609,-1
250,-9.448521010784313,-1.549840102482657,18.448248510905454,-1
251,-9.551375702984355,0.5851758250336063,18.519477269634816,-1
252,-9.178098541504363,2.6885741983460383,18.59070602836418,-1
253,-8.347840276583241,4.655562568217671,18.661934787093546,-1
